# Time (s), Angle of Attack (°), Mach Number
13.582462,0.281927,0.380113
13.608497,0.282687,0.379198
13.634532,0.283449,0.378284
13.660567,0.284210,0.377372
13.686602,0.284973,0.376460
13.712637,0.285737,0.375548
13.738672,0.286502,0.374638
13.764707,0.287267,0.373728
13.790742,0.288034,0.372820
13.816777,0.288802,0.371911
13.842812,0.289571,0.371004
13.868847,0.290341,0.370098
13.894882,0.291112,0.369192
13.920917,0.291885,0.368287
13.946952,0.292659,0.367383
13.976096,0.293600,0.366372
14.005240,0.294605,0.365362
14.034384,0.295622,0.364352
14.063528,0.296624,0.363344
14.092671,0.297619,0.362337
14.121815,0.298617,0.361330
14.150959,0.299620,0.360325
14.180103,0.300624,0.359320
14.209247,0.301629,0.358317
14.238391,0.302634,0.357314
14.267535,0.303639,0.356313
14.296678,0.304645,0.355312
14.325822,0.305652,0.354312
14.354966,0.306661,0.353313
14.384110,0.307671,0.352315
14.413254,0.308682,0.351318
14.442398,0.309694,0.350322
14.471542,0.310707,0.349327
14.500685,0.311722,0.348332
14.529829,0.312739,0.347339
14.558973,0.313757,0.346346
14.588117,0.314777,0.345355
14.617261,0.315798,0.344364
14.646405,0.316822,0.343374
14.675549,0.317847,0.342385
14.704692,0.318875,0.341397
14.733836,0.319905,0.340410
14.762980,0.320938,0.339424
14.792124,0.321972,0.338438
14.821268,0.323009,0.337454
14.850412,0.324048,0.336470
14.879556,0.325091,0.335487
14.908699,0.326135,0.334505
14.937843,0.327183,0.333524
14.966987,0.328233,0.332544
14.996131,0.329286,0.331565
15.025275,0.330342,0.330586
15.054419,0.331401,0.329609
15.083563,0.332464,0.328632
15.115850,0.333718,0.327551
15.148137,0.335039,0.326471
15.180424,0.336373,0.325391
15.212712,0.337693,0.324313
15.244999,0.339006,0.323236
15.277286,0.340327,0.322160
15.309573,0.341657,0.321085
15.341861,0.342990,0.320011
15.374148,0.344325,0.318938
15.406435,0.345663,0.317866
15.438723,0.347004,0.316795
15.471010,0.348349,0.315725
15.503297,0.349698,0.314656
15.535584,0.351051,0.313588
15.567872,0.352408,0.312521
15.600159,0.353769,0.311455
15.632446,0.355135,0.310390
15.664733,0.356504,0.309326
15.697021,0.357879,0.308263
15.729308,0.359258,0.307201
15.761595,0.360642,0.306140
15.793883,0.362031,0.305080
15.826170,0.363425,0.304020
15.858457,0.364825,0.302962
15.890744,0.366231,0.301905
15.923032,0.367642,0.300849
15.955319,0.369060,0.299793
15.987606,0.370485,0.298739
16.019893,0.371916,0.297685
16.052181,0.373352,0.296633
16.084468,0.374796,0.295581
16.116755,0.376246,0.294531
16.149043,0.377703,0.293481
16.181330,0.379167,0.292432
16.213617,0.380639,0.291384
16.245904,0.382117,0.290337
16.281577,0.383833,0.289182
16.317250,0.385622,0.288027
16.352923,0.387429,0.286874
16.388596,0.389226,0.285722
16.424269,0.391022,0.284571
16.459942,0.392832,0.283421
16.495615,0.394655,0.282272
16.531287,0.396489,0.281124
16.566960,0.398331,0.279978
16.602633,0.400182,0.278832
16.638306,0.402044,0.277688
16.673979,0.403916,0.276545
16.709652,0.405799,0.275402
16.745325,0.407693,0.274261
16.780998,0.409599,0.273121
16.816671,0.411516,0.271982
16.852343,0.413445,0.270845
16.888016,0.415385,0.269708
16.923689,0.417339,0.268572
16.959362,0.419305,0.267438
16.995035,0.421284,0.266304
17.030708,0.423276,0.265172
17.066381,0.425283,0.264041
17.102054,0.427303,0.262911
17.137727,0.429338,0.261781
17.173399,0.431387,0.260653
17.209072,0.433452,0.259526
17.248781,0.435857,0.258273
17.288489,0.438360,0.257021
17.328197,0.440895,0.255771
17.367905,0.443427,0.254522
17.407613,0.445967,0.253274
17.447322,0.448532,0.252027
17.487030,0.451126,0.250782
17.526738,0.453741,0.249538
17.566446,0.456377,0.248296
17.606155,0.459034,0.247054
17.645863,0.461714,0.245814
17.685571,0.464419,0.244576
17.725279,0.467149,0.243338
17.764988,0.469905,0.242102
17.804696,0.472687,0.240868
17.844404,0.475497,0.239634
17.884112,0.478334,0.238402
17.923820,0.481200,0.237172
17.963529,0.484097,0.235942
18.003237,0.487024,0.234714
18.042945,0.489986,0.233487
18.082653,0.492984,0.232262
18.122362,0.496016,0.231038
18.162070,0.499084,0.229815
18.201778,0.502190,0.228593
18.241486,0.505332,0.227373
18.281194,0.508513,0.226155
18.320903,0.511733,0.224937
18.360611,0.514995,0.223721
18.400319,0.518300,0.222506
18.440027,0.521648,0.221293
18.479736,0.525041,0.220080
18.519444,0.528480,0.218870
18.563584,0.532437,0.217525
18.607724,0.536525,0.216183
18.651865,0.540687,0.214842
18.696005,0.544890,0.213502
18.740146,0.549147,0.212165
18.784286,0.553476,0.210829
18.828426,0.557884,0.209494
18.872567,0.562366,0.208162
18.916707,0.566924,0.206831
18.960847,0.571560,0.205502
